t_sec,symbol,bid,bid_size,ask,ask_size
2056.189,S1,400.00,1000,430.00,1500
2058.524,S1,400.00,750,430.00,1500
2058.994,S1,400.00,500,430.00,1500
2059.704,S1,400.00,250,430.00,1500
2060.916,S1,400.00,250,420.00,200
2060.936,S1,381.00,1000,420.00,200
2063.211,S1,350.00,500,420.00,200
2064.975,S1,350.00,500,400.00,400
2066.728,S1,350.00,500,400.00,1400
2076.989,S1,350.00,500,400.00,2400
2077.525,S1,350.00,500,400.00,3400
2077.920,S1,350.00,500,400.00,4400
2078.866,S1,350.00,500,390.00,400
2095.259,S1,250.00,100,390.00,400
2095.937,S1,250.00,100,351.00,1
2103.057,S1,250.00,100,400.00,4301
2104.294,S1,300.00,500,400.00,4301
2111.277,S1,300.00,500,301.00,1
2121.847,S1,300.00,400,301.00,1
2125.720,S1,300.00,400,390.00,51
2128.809,S1,301.00,1,390.00,51
2129.133,S1,301.00,1,399.00,451
2130.751,S1,301.00,1,399.00,351
2132.448,S1,301.00,1,399.00,251
2133.301,S1,301.00,1,399.00,151
2135.452,S1,301.00,1,399.00,51
2137.175,S1,301.00,1,399.00,551
2137.882,S1,301.00,1,399.00,451
2139.385,S1,301.00,1,399.00,351
2140.316,S1,301.00,1,399.00,251
2140.833,S1,301.00,1,399.00,151
2141.417,S1,301.00,1,399.00,51
2141.745,S1,398.00,1,399.00,51
2143.367,S1,398.00,1,400.00,5252
2145.685,S1,398.00,1,400.00,5152
2145.979,S1,398.00,1,400.00,5052
2146.192,S1,398.00,1,400.00,4952
2146.606,S1,398.00,1,400.00,4852
2146.709,S1,398.00,1,399.99,800
2146.830,S1,398.00,1,399.99,700
2149.500,S1,398.00,1,399.99,600
2149.936,S1,398.00,1,399.99,500
2150.147,S1,398.00,1,399.99,400
2150.327,S1,398.00,1,399.99,300
2150.529,S1,398.00,1,399.99,200
2151.317,S1,398.00,1,399.99,100
2151.733,S1,398.00,1,400.00,4852
2158.351,S1,398.00,1,400.00,4752
2159.026,S1,398.00,1,400.00,4652
2160.288,S1,398.00,1,400.00,4552
2161.029,S1,398.00,1,400.00,4452
2161.804,S1,398.00,1,400.00,4352
2162.423,S1,398.00,1,400.00,4252
2163.030,S1,398.00,1,400.00,4152
2163.716,S1,398.00,1,400.00,4052
2163.966,S1,315.00,250,400.00,4052
2164.121,S1,315.00,250,399.00,200
2164.241,S1,315.00,250,399.00,100
2164.648,S1,315.00,250,400.00,4052
2165.388,S1,315.00,250,400.00,3952
2166.000,S1,315.00,250,400.00,3852
2166.544,S1,315.00,250,400.00,3752
2167.112,S1,315.00,250,400.00,3652
2167.487,S1,315.00,250,399.00,200
2167.722,S1,315.00,250,399.00,100
2168.620,S1,315.00,250,400.00,3652
2169.291,S1,315.00,250,400.00,3552
2169.860,S1,315.00,250,400.00,3452
2170.057,S1,315.00,250,400.00,3352
2170.281,S1,315.00,250,400.00,3252
2170.527,S1,315.00,250,400.00,3152
2170.831,S1,315.00,250,400.00,3052
2170.831,S1,315.00,250,399.00,1000
2171.472,S1,315.00,250,399.00,900
2171.961,S1,315.00,250,399.00,800
2172.142,S1,315.00,250,399.00,700
2172.365,S1,315.00,250,399.00,600
2172.579,S1,315.00,250,399.00,500
2172.899,S1,315.00,250,399.00,400
2174.012,S1,315.00,250,399.00,300
2174.316,S1,315.00,250,380.00,250
2174.387,S1,315.00,250,380.00,150
2174.659,S1,315.00,250,380.00,50
2175.103,S1,315.00,250,399.00,250
2175.368,S1,315.00,250,380.00,250
2175.717,S1,315.00,250,380.00,150
2176.093,S1,315.00,250,380.00,50
2176.266,S1,315.00,250,380.00,300
2176.467,S1,315.00,250,380.00,550
2176.561,S1,315.00,250,380.00,450
2176.833,S1,315.00,250,380.00,350
2177.125,S1,315.00,250,380.00,600
2177.197,S1,315.00,250,380.00,500
2177.592,S1,315.00,250,380.00,400
2178.368,S1,315.00,250,380.00,300
2178.909,S1,315.00,250,380.00,200
2179.336,S1,315.00,250,380.00,100
2179.893,S1,315.00,250,399.00,1250
2180.247,S1,315.00,250,399.00,1150
2180.711,S1,315.00,250,399.00,1050
2180.720,S1,315.00,250,380.00,250
2180.913,S1,315.00,250,380.00,500
2181.227,S1,315.00,250,380.00,400
2181.891,S1,315.00,250,380.00,650
2182.255,S1,315.00,250,380.00,550
2183.128,S1,315.00,250,380.00,450
2183.838,S1,315.00,250,380.00,350
2184.363,S1,315.00,250,380.00,250
2184.950,S1,315.00,250,380.00,150
2185.394,S1,315.00,250,380.00,50
2185.596,S1,315.00,250,399.00,1000
2185.809,S1,315.00,250,399.00,900
2186.044,S1,315.00,250,399.00,800
2186.562,S1,315.00,250,399.00,700
2187.091,S1,315.00,250,399.00,600
2187.253,S1,315.00,250,399.00,500
2187.285,S1,315.00,250,395.00,250
2187.447,S1,320.00,200,395.00,250
2187.498,S1,320.00,200,395.00,150
2187.590,S1,320.00,200,395.00,50
2187.677,S1,320.00,200,395.00,300
2188.329,S1,320.00,200,395.00,200
2188.544,S1,320.00,200,395.00,100
